read_length,gc_content,avg_quality
226,55.75221238938053,10.035398230088495
362,41.43646408839779,6.071823204419889
284,46.83098591549296,25.218309859154928
325,55.38461538461539,27.513846153846153
222,54.054054054054056,24.824324324324323
308,47.07792207792208,8.233766233766234
262,45.41984732824427,15.477099236641221
185,42.7027027027027,5.956756756756757
395,53.67088607594936,17.179746835443037
226,54.424778761061944,15.247787610619469
300,48.0,21.893333333333334
350,57.99999999999999,26.762857142857143
763,57.929226736566186,24.01572739187418
1242,55.63607085346216,30.721417069243156
3573,60.31346207668625,19.527287993282954
997,55.76730190571715,9.236710130391174
541,55.26802218114602,25.722735674676525
1475,54.16949152542373,11.11457627118644
677,50.22156573116692,6.412112259970458
330,61.81818181818181,25.23939393939394
1762,58.796821793416576,11.82122587968218
1068,67.22846441947566,30.875468164794007
2378,56.433978132884775,11.615643397813288
760,53.55263157894738,9.960526315789474
1236,45.38834951456311,16.682038834951456
1514,53.69881109643329,10.766182298546896
1446,52.9045643153527,9.731673582295988
1837,54.872074033750685,22.86717474142624
730,58.35616438356165,27.202739726027396
847,61.629279811097994,32.41086186540732
953,50.78698845750262,27.72822665267576
1362,50.22026431718062,10.684287812041116
488,66.80327868852459,26.81967213114754
395,52.65822784810127,14.29873417721519
613,46.00326264274062,28.73572593800979
373,64.343163538874,22.117962466487935
10273,68.29553197702715,23.024627664752263
1888,50.3707627118644,6.445974576271187
769,65.27958387516254,31.46553966189857
269,47.58364312267658,10.550185873605948
196,40.816326530612244,22.8265306122449
442,58.144796380090504,11.013574660633484
230,51.73913043478261,11.321739130434782
239,51.04602510460251,25.271966527196653
266,48.1203007518797,7.902255639097745
292,38.35616438356164,6.928082191780822
267,53.93258426966292,20.970037453183522
241,48.54771784232365,26.726141078838175
280,57.85714285714286,13.753571428571428
259,46.33204633204633,8.50965250965251
178,41.57303370786517,19.219101123595507
410,53.65853658536586,12.987804878048781
301,48.837209302325576,10.794019933554818
364,57.96703296703297,24.27747252747253
416,60.33653846153846,28.423076923076923
2115,51.39479905437352,28.150827423167847
636,53.301886792452834,19.97012578616352
702,51.70940170940172,29.001424501424502
443,50.79006772009029,8.221218961625283
2527,52.829442026117924,29.67154728927582
613,58.890701468189235,12.727569331158238
911,53.018660812294186,6.701427003293085
1745,55.47277936962751,10.806876790830946
2465,45.35496957403652,15.051926977687627
769,44.083224967490246,6.888166449934981
257,60.311284046692606,11.883268482490273
196,54.59183673469388,21.637755102040817
356,59.269662921348306,25.867977528089888
662,34.13897280966767,9.397280966767372
445,53.93258426966292,16.817977528089887
1037,66.24879459980714,29.15621986499518
671,42.026825633383005,19.417287630402384
753,51.66002656042497,23.87516600265604
707,53.04101838755304,15.285714285714286
3525,52.34042553191489,29.077163120567377
860,50.93023255813953,22.336046511627906
490,46.73469387755102,10.536734693877552
498,59.83935742971887,27.32730923694779
795,60.75471698113207,13.579874213836478
875,53.37142857142857,20.580571428571428
1131,52.254641909814325,10.777188328912468
966,54.96894409937888,24.13768115942029
573,50.08726003490401,30.272251308900522
1682,57.0154577883472,16.989892984542212
234,47.863247863247864,23.371794871794872
276,55.072463768115945,20.10144927536232
180,58.333333333333336,28.016666666666666
362,63.812154696132595,19.61878453038674
303,47.85478547854785,10.036303630363037
568,54.04929577464789,18.038732394366196
2023,49.77755808205635,6.117647058823529
637,58.55572998430141,10.940345368916798
1376,59.0843023255814,22.617005813953487
184,51.08695652173913,23.29891304347826
254,53.54330708661418,29.070866141732285
235,41.702127659574465,7.165957446808511
434,47.235023041474655,20.794930875576036
298,63.42281879194631,23.201342281879196
466,47.42489270386266,15.448497854077253
927,50.80906148867314,23.65480043149946
570,53.85964912280702,33.42280701754386
384,55.46875,24.369791666666668
3435,46.60844250363901,25.58981077147016
975,58.46153846153847,17.785641025641027
1250,53.68000000000001,23.8088
2230,44.88789237668161,27.428251121076233
1360,57.720588235294116,13.613235294117647
1442,60.19417475728155,26.712898751733704
565,65.48672566371681,21.435398230088495
639,50.07824726134585,25.039123630672925
1584,29.545454545454547,13.424873737373737
907,45.53472987872106,6.162072767364939
2632,54.59726443768997,21.85372340425532
1007,62.264150943396224,20.955312810327705
506,60.47430830039525,11.58695652173913
1489,63.062458025520485,26.653458697112157
1242,57.971014492753625,13.44122383252818
375,56.00000000000001,16.752
299,53.51170568561873,5.996655518394649
287,50.522648083623686,21.013937282229964
347,53.31412103746398,10.0
241,50.20746887966805,22.195020746887966
254,55.51181102362205,29.637795275590552
340,52.64705882352941,31.211764705882352
249,45.78313253012048,26.622489959839356
423,67.37588652482269,25.45626477541371
356,58.14606741573034,21.679775280898877
454,44.93392070484582,10.627753303964758
213,55.39906103286385,22.215962441314552
187,43.31550802139038,23.25668449197861
111,46.846846846846844,23.225225225225227
228,55.26315789473685,21.894736842105264
292,47.94520547945205,23.061643835616437
477,53.66876310272537,19.17610062893082
300,60.0,10.483333333333333
541,56.37707948243993,7.493530499075786
5211,57.89675686048743,25.052581078487815
2759,58.535701341065604,13.631388184124683
1283,55.96258768511302,25.104442712392828
794,51.00755667506297,17.73551637279597
289,49.48096885813148,5.280276816608996
288,53.47222222222222,9.46875
596,42.61744966442953,6.867449664429531
760,45.0,23.51184210526316
1012,51.08695652173913,13.711462450592885
557,54.57809694793537,10.231597845601437
395,64.0506329113924,28.89113924050633
391,49.87212276214834,9.317135549872123
1774,69.10935738444194,14.529312288613303
358,43.01675977653631,29.6536312849162
1659,63.17058468957203,26.122362869198312
1756,57.85876993166287,31.55637813211845
1315,51.634980988593156,26.18174904942966
2093,50.54945054945055,24.044911610129002
1224,55.22875816993464,26.1968954248366
1203,61.014131338320865,31.698254364089774
1130,44.24778761061947,7.445132743362832
265,44.15094339622642,15.373584905660378
421,53.681710213776725,18.32541567695962
822,54.01459854014598,18.600973236009732
2054,52.142161635832515,11.749269717624149
5215,39.75071907957814,23.09300095877277
1003,52.54237288135594,7.458624127617148
198,46.96969696969697,25.156565656565657
367,48.50136239782017,27.43324250681199
249,51.80722891566265,6.93574297188755
263,47.14828897338403,24.437262357414447
361,45.70637119113574,27.257617728531855
297,51.178451178451176,11.683501683501683
253,54.54545454545454,9.185770750988143
340,32.35294117647059,29.958823529411763
829,55.60916767189384,7.997587454764777
622,68.16720257234726,31.143086816720256
541,54.5286506469501,11.434380776340111
173,48.554913294797686,7.815028901734104
238,35.294117647058826,15.441176470588236
401,52.618453865336654,25.169576059850375
266,50.0,31.10902255639098
336,51.78571428571429,12.395833333333334
405,42.96296296296296,20.46172839506173
14522,64.31620988844512,22.467773034017352
602,61.79401993355482,25.538205980066444
443,56.43340857787811,13.45372460496614
397,49.87405541561713,10.302267002518892
411,48.661800486618006,7.639902676399027
1097,56.42661804922516,8.685505925250684
503,50.29821073558648,4.777335984095427
708,53.954802259887,24.240112994350284
4450,38.38202247191011,32.671011235955056
637,51.177394034536896,6.491365777080063
373,59.24932975871313,24.605898123324398
517,46.22823984526112,7.649903288201161
968,49.17355371900827,18.43801652892562
961,56.08740894901144,8.618106139438085
886,57.674943566591416,30.20767494356659
3424,68.98364485981308,33.79088785046729
575,61.39130434782609,12.422608695652174
1241,55.197421434327154,11.632554391619662
2675,55.06542056074767,13.04785046728972
681,48.604992657856094,25.665198237885463
444,56.08108108108109,24.3490990990991
681,65.63876651982379,23.104258443465493
446,52.91479820627802,28.52914798206278
499,53.50701402805611,24.08817635270541
539,58.44155844155844,16.62152133580705
1381,50.3982621288921,6.738595220854453
1335,48.53932584269663,13.740823970037454
1823,54.25123422929238,14.776193088315964
536,52.42537313432835,11.830223880597014
783,60.28097062579821,18.674329501915707
2019,52.00594353640417,25.772659732540863
612,50.0,23.03267973856209
200,43.0,33.2
649,58.85978428351309,25.36055469953775
769,47.724317295188555,23.110533159947984
878,34.96583143507973,16.86902050113895
606,55.61056105610561,12.968646864686468
281,59.7864768683274,30.416370106761565
242,58.26446280991735,18.6900826446281
219,31.05022831050228,14.986301369863014
197,55.32994923857868,22.421319796954315
389,41.38817480719794,24.12082262210797
212,64.62264150943396,14.933962264150944
219,49.31506849315068,14.748858447488585
189,58.201058201058196,10.772486772486772
237,62.447257383966246,16.075949367088608
308,58.44155844155844,14.444805194805195
451,57.87139689578714,19.762749445676274
2403,57.594673325010405,28.397419891801913
922,55.63991323210412,10.147505422993492
384,51.041666666666664,13.419270833333334
315,50.476190476190474,16.16190476190476
377,51.19363395225464,24.925729442970823
312,41.34615384615385,19.060897435897434
281,51.60142348754449,24.82918149466192
261,50.95785440613027,22.061302681992338
3809,34.31346810186401,29.381727487529535
436,54.58715596330275,5.958715596330276
759,52.70092226613966,27.538866930171277
986,56.896551724137936,8.384381338742394
6391,33.8131747770302,17.638084806759505
442,51.35746606334841,7.153846153846154
2191,55.0890004564126,13.333637608397991
427,48.711943793911004,29.43559718969555
772,58.16062176165803,8.139896373056995
458,50.43668122270743,10.170305676855895
1153,53.94622723330442,9.073720728534258
709,45.6981664315938,27.334273624823695
22112,64.93306801736614,12.265059696092619
943,59.06680805938495,34.18027571580063
630,59.20634920634921,23.29206349206349
3851,60.841339911711245,30.414178135549207
608,59.539473684210535,25.82236842105263
640,54.6875,29.7359375
747,42.168674698795186,13.870147255689425
496,54.83870967741935,11.840725806451612
459,54.68409586056645,17.579520697167755
2014,49.55312810327706,11.547666335650447
878,50.11389521640092,10.005694760820045
545,56.88073394495413,10.647706422018349
1237,52.86984640258691,29.36378334680679
1114,57.63016157989228,26.136445242369838
583,39.108061749571185,27.758147512864493
447,49.21700223713646,19.79194630872483
2607,57.26889144610664,8.84234752589183
300,45.33333333333333,7.986666666666666
441,52.15419501133787,7.287981859410431
794,54.030226700251895,19.721662468513856
343,51.89504373177842,19.72594752186589
314,46.81528662420382,30.681528662420384
214,52.336448598130836,24.247663551401867
288,52.77777777777778,29.95486111111111
223,40.35874439461883,8.573991031390134
211,52.13270142180095,14.587677725118484
363,61.70798898071625,22.97245179063361
410,51.21951219512195,20.565853658536586
316,61.07594936708861,28.332278481012658
173,43.93063583815029,32.127167630057805
206,44.1747572815534,28.694174757281555
386,39.637305699481864,14.455958549222798
205,44.87804878048781,8.170731707317072
329,50.75987841945289,29.1580547112462
315,50.15873015873016,8.644444444444444
184,44.565217391304344,5.157608695652174
831,52.9482551143201,29.604091456077015
